gene,entrez_gene_id
Tpr,100753776
Casp8ap2,107980090
Thoc3,100751816
Slc39a10,100754926
Orc4,100689043
Mrto4,100750586
Sympk,100758374
Cenpl,100774360
Med22,100771147
Dnmt1,100762713
Wdr61,100755344
Rptor,100761529
Tamm41,100753536
Agps,100756809
Rbm39,100757502
Gale,113830648
Sf1,100760817
Ctdp1,100764255
Xpo1,100770879
Ufsp2,100769508
Atrip,100762140
Timmdc1,100757811
Ints2,100774909
Eefsec,100761746
Rbm15,100764622
Ash2l,100771359
Riok2,100758835
Spdl1,100765969
Sdhb,100771246
Rps10,100756654
Psmd2,100750425
LOC100771702,100771702
Acd,100763518
Eif3b,100762979
LOC113836680,113836680
Coq6,100751162
Dld,100689437
LOC100767241,100767241
Rpl19,100757685
Ten1,100759443
Ckap5,100755237
Sap130,100755025
Pop1,100754990
Wdr1__2,
Slc5a6,100765026
Mcl1,100764237
Rpl7a,100772298
Mrps26,100769748
Phf5a,100758913
Creb1,100761582
Zeb1__2,
Tkt,100774058
Smim26,100766264
Rnf111,100773181
Taf3,100760532
Coq2,100755903
Cdc45,100689362
Dut,100761578
Mrps15,100759894
Dad1,100767387
Cpsf4,100773929
Gtpbp3,100751349
Ube2m,100767306
Spry1,100754609
Rock2,100767265
Mthfd1,100763862
Tyms,100754276
Drosha,100766983
Lipt1,100763903
Eif2s2,100750388
Mrps14,100752801
Pyroxd1,100774005
LOC100768872,100768872
Ube2l3,100750565
Qrsl1,100767432
Nup133,100768681
Usp9x,100763346
LOC113830645,113830645
Alg2,100768412
LOC113837953|LOC113837005|LOC100767993|LOC100770373,113837953
Zwilch,100756333
Las1l,100774247
Rad51c,100689078
LOC100771351,100771351
Phb,100755273
Alas1,100766370
Mrpl2,100773905
Rps3,100758037
Etnk1,100765795
Ndufa10,100767451
Ankrd49,100750582
Htra2,100760629
Gnb1l,100773508
Rtn4ip1,100767145
Ddx23,100767790
Ppp4c,100771425
Yap1,100761993
Ino80b,100764793
Znf574,100757627
Rbbp7,107977000
Mrps33,100774673
Slf2,100756312
Nfyb,100765985
Eif3f,100769028
Rnf4,100770179
Tada1,100768714
Zbtb11,100758669
Srp9,103160754
Sptlc2,100689415
Ndufb2,100774095
Nhlrc2,100751107
Ikzf4,100768259
Tubgcp2,100771527
Mvd,100766541
Kri1,100771958
Etf1,100755265
Mrpl19,100766276
LOC100759002,100759002
Osbp,100760367
Esco2,100755867
Ndufc2,100766442
Srrm1,100757992
Zcchc8,100770227
Gnpat,100765024
Cirbp,100689075
Crnkl1,100771455
Wars2,100772881
LOC113832969|LOC100762118,100762118
Runx1,100758283
Tra2b,100756061
Ganab,100752162
Pole,100774671
Polr2e,100754513
Supt6h,100761229
Rpl23a|Trpv3,100761992
LOC100757378|LOC100757773,100757378
Kmt2d,100765465
Smg1,100752584
Mrps18b,100765352
Bysl,100765734
Nsmce4a,100774921
Mrpl14,100755662
Utp6,100761515
Snw1,100759596
Noc3l,100689254
LOC100766805,100766805
Wdr24,100772059
Mau2,100763469
Elp4,100766660
LOC100767596,100767596
Kdm8,100762777
Pcna,100689335
LOC100770213,100770213
Rps13,100689293
Nfya,100755500
Fam210a,100758002
Fzr1,100762149
Mrpl18,100760587
Rars1,100767723
Slc25a32,100689360
Drap1,100765946
Sde2,100752836
Pex6,100773621
Pnpt1,100766803
Sf3b3,100752512
Timm50,100773512
Ciao3,100772638
Hexim1,100760203
Mrpl13,100763748
Ddx10,100752733
Clns1a,100768284
Ncaph,100751228
Prpf4,100753511
Nol10,100762799
Scfd1,100763574
Isca2,100771623
LOC103164217|LOC113836537,113836537
Brd4,100771403
Wdr12,100765493
Nampt,100767492
Flii,100756205
Hjurp,100755715
Gtf2h4,103160241
Dcaf1,100768333
Chd4,100754178
Ptcd1,100752650
Gtf3c4,100773467
Mccc1|Cbx3,100689443
Polr1e,100751282
Elp3,100771722
Dbf4,100689339
Plrg1,100773980
Gemin8,100765564
Rps17,100689053
LOC100763541,100763541
Rps6__2,
Pkd1,100768622
Pgs1,100689449
Taf1c,100774138
Yju2,100755173
LOC100761791,100761791
Wdr75,100759292
Mlh1,100769879
Ccdc22,100757706
LOC113837369|LOC113837639,113837639
Hmgcr,100756363
Nop9,100769858
Vps52,100753256
Anapc2,100774636
Trappc5,100769309
Rps16,100773230
Rnmt,100757713
Vmp1,100756933
Ncapd2,100753087
Bms1,100770546
Nae1,103163014
Rint1,100763529
Pdss1,100772754
Nup107,100769827
Umps,100756786
Mcm10,100773567
Rps19bp1,100770022
Sec16a,100760133
Nkapd1,100774078
Aatf,100758164
Med6,100762349
Rad51,100689324
Szrd1,100774832
Tubg1,100759432
Rbm8a,100754959
Tsen54,100755913
Pex12,100751101
Mrps23,100761716
Psmb3,100756232
Med26,100755356
Kdsr,100774578
Naa20,100771745
Zc3h3,100756959
Tada2a,100767795
Dnajc17,100752047
Mrpl22,100766885
Wdr77,100774828
Wdr44,100764342
Naa50,100773295
Atp5f1b,100763024
Anln,100768074
Ctps1,100689101
Banf1,100765074
Slc11a2,100764508
Naa35,100772100
Pdss2,100768592
Tfip11,100774688
Polr2m,100771441
Ndufaf6,103162917
Tubgcp6,100753745
Mbtps2,100689085
Dennd4c,100754289
Hnrnpk,100762670
Cdc20,100767761
Eif3g,100763004
Naa25,100762204
Mipep,100762716
Utp25,100765405
Dnm1l,100750819
Rpp30,100764835
Rpn1,100762811
Cdc6,100689243
Anapc1,100770891
LOC100760824,100760824
Lias,100757956
Mthfd2,100770086
Magoh,100766467
Adat2,100759031
Prpsap1,100761764
Dctn4,100767865
Orc5,100689042
Abcf1,100765933
Tsr2,100756047
Imp4,100773345
Stip1,100689413
Mrpl47,100757628
Sec63,100775020
Slc25a1,100751442
Ears2,100765390
Rpl6,100761632
Rpf2,100770065
Sf3b4,100759502
Hus1,100754140
Dpy30,100763394
Gtf3c5,100770779
Nol12,100752251
Nob1,100761193
Pold3,100756090
Mrpl15,100755003
Gne,100689450
LOC100754792__2,
LOC100762189,100762189
Fam71f2,100750641
Nufip1,100768910
Rbm28,100774448
Mpv17,100766363
Abt1,100771876
Zeb2,100752455
Rpl24,100757231
Cebpz,100756756
Pdrg1,100754797
Med18,100770895
Prmt7,100759617
Mcm7,100770006
Nudcd3,100763685
Dlat,100773493
Cog1,100752570
Hspa8,100689472
Ints8,100757889
Pno1,100750394
Prpf38a,100755230
Eif3h,100751998
Tomm40,100752231
Rps6kb1,100757513
Ccnk,100769288
Rpl5,100770250
Ppil1,100753635
Lrr1,100752788
Gins4,100752225
Eif1ad,100765365
Lsm8,100756548
Dnajc2,100757311
LOC100773492,100773492
Psma1,100773907
Dbndd2__2,
Tmem41b,100768380
Mterf4,100771571
Smc3,100759387
Taf1,100751131
Usp7,100769056
Rrp1,100768977
Ddx27,100758755
Mrpl54,100763792
Tfb1m,100750446
LOC100770670,100770670
Ddost,100755259
Ago2,100760040
Nsun5,100761733
Wdr74,100754753
Lig3,100765011
Sod1,100765091
Kdm1a,100770721
Rps9,100767024
Usp5,100757368
Trappc11,100752972
Cstf3,100772127
Ppp1r15b,100766520
Rpl30,103162454
Trnt1,100762416
Mrpl16,100756893
Tomm20,100761619
Tex10,100775062
Smarcd1,100773634
Stk11,100765813
Znf236,100764693
Imp3,100760961
Cdc42,100765433
Dhx16,100756749
Odr4,100751804
Smc5,100758700
Diaph1,100752938
Vps28,100761380
Rnaseh2a,100762806
Fdx2,100761259
Skp1,100757677
LOC100765403,100765403
LOC100773172,100773172
Bud13,100773647
Ankle2,100750769
Cfl1,100760435
Ndufa11,100772543
Pars2,100751506
Haus5,100751456
Terf1,100689470
Cul5,100770463
Cherp,100755648
Atp1a1,100771378
Atp6v1c1,100773930
Ccdc57,100771842
Ints9,100752291
Osgep,100754538
Mrps6,100770304
Ncapd3,100752080
Mettl3,100774316
Aip,100759077
Ccs,100757246
Cog2,100767234
Flvcr1,100766724
Prpf19,100751402
Exosc5,100773940
Rpl13,100689376
Bptf,100772838
Vps54,100768421
Ddx21,100771185
Pex13,100689378
Ppp1r12a,100754718
Rab7a,100763105
Eipr1,100764491
Npm3,100751292
LOC100759692,100759692
Tti2,100760553
Lin52,100755280
Snapc2,100759063
Rpl11,100751864
Ndufb11,100689361
Cnbp,100689247
Vps35,100767603
Slc35b1,100756934
Topbp1,100761910
Rpa2,100764034
Palb2,100773675
Hspa13,100766580
Senp1,100754744
Mrpl51,100752785
Med17,100752831
Arid1a,100771997
LOC100774417,100774417
Ddx24,100764379
Vps54__2,
Chmp4b,100759419
Eif2b2,100759048
Ndufaf5,100770742
Orc3,100768718
Dars1,100767438
Mrpl17,100758899
Aamp,100775009
Znf638,100769635
Cpsf6,100773290
Acbd4,100759909
Gfm1,100757634
Msh5,100761092
Dnttip2,100774727
Cactin,100771890
Igbp1,100768558
Nasp,100761335
Rps20,100755991
Phax,100756807
Cog7,100754278
Atp6v0c,100772184
Ppp2cb,100757400
Psmd7,100761962
Ndufs1,100754223
Gtf3c2,100766655
Prelid1,100764743
Blm,100762862
Nsl1,100765846
Son,100769440
Ppp1cb,100761524
Bag6,100763893
Rpa3,100760299
Rtel1,100762036
Commd4,100762408
Ipo7,100752357
Mcm5,100756580
Lamtor3,100751917
Rce1,100758680
Mis18a,100766257
Nme6,100763307
Ess2,100751728
Immt,100762629
Srp19,100753807
Mrpl58,100757939
Rbm17,100764203
Pop7,100753663
Smg6,100767685
Mvk,100751653
LOC100770826,100770826
Ipo9,100756041
LOC100760422,100760422
Eif2s2|Ankrd55,100750388
Top2a,100689304
Cdk2,100689039
Marchf6,100759599
Letm1,100764264
Rpap1,100762111
LOC100766809,100766809
Pusl1,100769138
LOC100773835|LOC100773545,100773835
Eif5,100756911
Gtf2e2,100754209
Rangap1,100761972
Vps13d,100755898
Exoc5,100769231
Pfkfb3,100762756
Lin9,100774401
Eif4g1,100770567
Rab6a,100761500
Pfdn5,100768547
Mcrs1,100761535
Park7,100759195
Atp1b3,100765669
Dgcr8,118239887
Ltn1,100760736
Dkc1,100755395
Stx12,100773207
Btg1,100755272
Cenpe,100771167
Uri1,100753065
Mtrf1l,100770110
Sdha,100750732
Pus1,100769856
Rnf40,100750431
Rpap2,100763199
Mrpl41,100753662
Eif4g2,100758677
Elf2,100762906
Poc1a,100765128
Ctc1,100752986
Cul1,100757763
Traip,100759129
Thoc1,100770844
Farsb,100760139
Glrx3,100754656
Mfn2,100763273
Mtrex,100768244
Mpi,100764596
Med16,100763586
Pgp,100770052
Ube2k,100764110
Nat10,100773484
