Gene	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S1	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S2	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S3	S40	S41	S42	S43	S4	S5	S6	S7	S8	S9
Abcc5	34.988434000000005	21.124788	20.393724	15.393129	20.655376	18.314049	34.998787	39.601475	17.103270000000002	13.424538	17.33371	38.130695	29.735712	15.906346	16.485094	22.273329	18.477831	38.333199	10.08427	19.983551000000002	26.304378999999997	24.082819	20.39917	39.282291	48.497840999999994	19.33527	19.493402	16.229959	40.685284	47.589287	12.116714	15.496007	35.961937	23.222454	25.080986	35.023026	36.67329	37.204781	41.276973999999996	31.461253999999997	18.787338000000002	14.123217000000002	33.401871
Abcc6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abcc8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abcc9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abcd1	2.168463	0.794045	0.22251300000000002	2.3193669999999997	3.8230779999999998	2.164191	3.210713	1.338244	2.695549	3.041357	3.008726	3.7588699999999995	0.9194709999999999	2.981425	2.996896	2.4849799999999997	4.560881	2.242282	1.43064	3.437013	5.102772	2.599087	1.721391	1.814743	2.035099	4.338455000000001	2.168016	2.702706	3.275056	3.320995	3.604864	3.121489	3.661925	3.101511	3.4004480000000004	3.1343229999999997	1.853166	2.264524	1.340478	0.6444810000000001	2.935302	2.036211	3.432746
Abcd2	1.708767	0.785536	0.0	1.467573	2.327014	1.350657	2.382767	3.394161	0.0	2.6582470000000002	1.1965	5.106694	3.5061720000000003	2.503927	1.175651	1.706422	1.742962	3.619847	0.0	2.466584	4.479602	0.0	1.52747	3.339255	2.895018	1.8076860000000001	2.182441	1.233655	2.878256	4.954646	1.9130479999999999	1.635859	3.824266	3.2820730000000005	4.010012000000001	3.8893949999999995	5.253762	2.016534	1.131413	0.87234	1.7580470000000001	1.5135290000000001	2.580413
Abcd3	12.219023	17.822475	15.319849	22.77298	21.390114	17.911806	18.5791	18.086761	8.755041	20.073294	24.668979999999998	20.902096	24.013988	37.690189000000004	23.419708	21.153542	28.225433000000002	20.838778	7.140803	25.342558	28.490995	14.301439000000002	15.384151000000001	25.761592999999998	27.609755	31.343464	15.926679	20.86146	21.342323	18.942604	22.150301000000002	10.875748	19.312970999999997	23.2843	20.452473	17.488125	26.741926	18.266296	20.479976999999998	20.977415	25.988741	11.164083	17.481282999999998
Abcd4	8.332654	1.24651	1.462801	6.272625	5.357	8.501723	10.73427	9.095164	7.145932000000001	10.438267999999999	7.26319	8.210961	4.467789	8.340552	8.20715	14.399431	5.626812999999999	7.088651	6.9557910000000005	5.438023	11.517496000000001	6.1713949999999995	12.127284	6.817985	7.7268360000000005	6.068021	5.836893	12.035061	12.324788	7.468362	5.9892	4.10303	5.619986	8.393326	9.982632	12.307414999999999	7.448999000000001	5.075723	3.9206830000000004	2.603325	4.887448	4.132933	9.711644
Abce1	79.34105699999999	87.921875	65.565704	105.327896	94.140373	69.433655	66.989334	77.45472	10.713196	58.367447	113.02624499999999	58.31213	30.262078999999996	122.812851	83.218994	43.041843	44.825153	36.264107	41.576782	82.607727	84.538895	50.566528000000005	42.171207	48.426990999999994	50.130764	110.79454799999999	59.037682	53.184536	57.985893000000004	47.732620000000004	89.099312	75.78064	90.772438	77.696373	62.327301	44.580063	59.603786	87.90484599999999	100.836899	109.635994	116.540329	48.678967	85.015244
Abcf1	92.086487	93.086906	65.856316	85.800896	84.600342	48.919819	80.409195	96.783241	196.82663	65.870857	82.723511	71.65567	109.38813799999998	114.30474099999999	111.916496	85.808418	134.057205	62.996669999999995	178.25177	134.88943500000002	102.846992	188.272842	69.232117	63.291328	106.51716599999999	95.035873	124.720657	69.65550999999999	66.834717	61.987846	74.296471	122.358658	76.593407	84.605408	71.04418199999999	70.53583499999999	65.26978299999999	74.932114	95.079163	82.93809499999999	92.469833	116.12336699999999	73.482292
